,target,n_1_H,E_0_H,E_1_H,E_apear,E_max,E_disapear,B_d
0,0,577.99875,6.2174816996674505,6.049743465190557,0,31,99,8.08693683745583
4,4,263.15375,6.20497707187626,5.134680211863306,0,19,99,5.440891434262948
0,0,577.45125,6.217267838462974,6.048638070235085,0,31,99,7.228216560509554
1,1,481.13625,6.216492222388214,5.85865967777918,0,29,99,8.366316105769231
8,8,83.5075,6.14414246548753,3.487889734491704,0,18,99,9.693645833333331
2,2,399.37625,6.214318281575154,5.658281417271707,0,25,99,6.55610331632653
8,8,83.81,6.142853288548902,3.4776345346903508,0,20,99,5.8056875
2,2,400.21625,6.214675376159367,5.659776618558794,0,27,99,6.224502976190476
3,3,323.74875,6.210824079588114,5.412839473045574,0,23,99,5.946457006369426
7,7,120.81625,6.1675463650966345,3.947816802545294,0,18,99,6.946055825242719
1,1,482.5925,6.216487592032702,5.862265156804861,0,29,99,8.16157192575406
3,3,324.635,6.210918607160449,5.417325621977892,0,25,99,7.339635214007782
3,3,325.68125,6.211193105394496,5.421256997859359,0,23,99,6.968613636363637
3,3,326.11625,6.211029019502764,5.420878684575166,0,23,99,6.271504166666666
1,1,482.475,6.216528122158236,5.863184613705089,0,29,99,7.092106713426856
3,3,325.06875,6.210945037855586,5.41642529619239,0,24,99,5.280031690140844
6,6,162.08875,6.184270245556811,4.373031821574525,0,17,99,5.439298387096774
5,5,210.0775,6.196108560459472,4.776846576522161,0,18,99,4.578512168141593
1,1,480.40125,6.216462477986382,5.858071247469063,0,29,99,8.90920050761421
6,6,160.9025,6.183831132453252,4.356980284775323,0,16,99,3.5885309829059837
0,0,578.81875,6.217294913459659,6.051171732951727,0,30,99,7.203632750397455
5,5,209.855,6.196127075190533,4.78104198072973,0,18,99,5.681782786885246
2,2,398.525,6.214331836882828,5.65603927240617,0,26,99,5.487839473684211
0,0,579.61,6.217476026972853,6.053056408158149,0,31,99,7.817225765306123
7,7,122.7,6.167582394872706,3.972116039903997,0,17,99,5.021778169014084
9,9,43.97375,6.125218607117959,2.459024745880372,0,22,99,7.959347826086956
9,9,46.8025,6.125139526198288,2.515969212000637,0,18,99,55.731785714285714
3,3,324.87375,6.211001924052932,5.415778968882332,0,23,99,6.533464912280701
6,6,161.36375,6.183740425084976,4.362215840465511,0,17,99,4.280923076923078
1,1,483.68375,6.216599469382166,5.864425416592849,0,29,99,7.40528125
9,9,45.49625,6.124642214619206,2.4764662074048114,0,20,99,63.610208333333325
7,7,120.16875,6.166967415939732,3.9464504280403423,0,18,99,8.594771341463414
3,3,325.935,6.211073450537353,5.420174567353825,0,23,99,6.709250886524822
9,9,44.87375,6.124377369018496,2.479136639501636,0,21,99,4.142596153846154
0,0,574.73875,6.217311051203655,6.043526220732774,0,31,99,8.0374376114082
5,5,208.9075,6.19627199192113,4.773131653964416,0,19,99,5.836046348314606
0,0,577.82875,6.217273852307176,6.049513998603065,0,31,99,7.5636875
7,7,121.7825,6.167398828311723,3.9679616869591103,0,19,99,8.084087078651688
8,8,84.16,6.143470418009968,3.4988884831733054,0,20,99,11.767025
1,1,483.14125,6.216531767758911,5.864000714887868,0,29,99,7.212449083503055
7,7,120.96125,6.167279730299502,3.946257538124996,0,18,99,9.592719594594596
9,9,46.425,6.123723259672008,2.530978719524466,0,20,99,3.321485042735043
9,9,42.47375,6.124360595994078,2.4124179223741606,0,18,99,5.81030737704918
